ph,turbidity_ntu,tds_ppm,temperature_c,risk_label
5.45,11.05,1110.0,26.4,ACID_MINE_DRAINAGE_RISK
6.48,5.39,814.6,25.0,IRON_MANGANESE_RISK
6.95,1.33,404.8,26.9,SAFE
7.74,1.17,474.8,23.9,SAFE
5.19,3.99,824.6,30.1,ACID_MINE_DRAINAGE_RISK
6.69,0.89,265.2,24.5,SAFE
6.24,7.17,482.5,28.5,IRON_MANGANESE_RISK
7.52,0.72,307.7,28.4,SAFE
7.88,0.43,286.9,25.8,SAFE
7.1,2.46,186.5,25.1,SAFE
7.0,2.22,301.6,22.2,SAFE
6.21,20.81,483.8,22.7,IRON_MANGANESE_RISK
7.27,0.29,204.0,27.8,SAFE
6.59,22.23,541.2,28.9,MICROBIAL_RISK
4.94,10.25,1411.9,30.0,ACID_MINE_DRAINAGE_RISK
5.71,3.69,870.6,29.5,ACID_MINE_DRAINAGE_RISK
8.98,1.63,1533.0,32.7,FLUORIDE_RISK
6.62,13.08,643.5,22.9,IRON_MANGANESE_RISK
5.41,6.23,1224.4,26.0,ACID_MINE_DRAINAGE_RISK
6.53,13.91,623.8,26.5,IRON_MANGANESE_RISK
8.79,0.52,1318.3,32.7,FLUORIDE_RISK
7.1,0.63,445.5,28.9,SAFE
7.1,0.23,341.1,26.1,SAFE
7.53,0.27,264.1,22.4,SAFE
7.27,0.89,262.7,29.8,SAFE
7.7,1.92,352.6,26.4,SAFE
6.42,16.97,722.3,23.5,IRON_MANGANESE_RISK
6.45,20.85,622.2,24.8,IRON_MANGANESE_RISK
9.22,3.69,1214.2,25.0,FLUORIDE_RISK
9.23,2.31,2092.4,26.6,FLUORIDE_RISK
7.06,0.45,457.6,26.6,SAFE
7.37,1.14,281.7,19.7,SAFE
7.31,0.13,166.4,27.4,SAFE
7.29,0.97,459.9,21.9,SAFE
7.19,0.14,297.6,26.6,SAFE
8.59,2.26,1740.5,27.7,FLUORIDE_RISK
7.06,0.27,555.9,28.7,SAFE
7.72,1.03,282.7,26.6,SAFE
7.0,18.84,356.4,31.4,MICROBIAL_RISK
8.9,1.62,1194.6,28.9,FLUORIDE_RISK
8.49,1.27,393.7,26.4,SAFE
8.78,3.07,1119.1,29.4,FLUORIDE_RISK
6.57,10.33,587.4,25.4,IRON_MANGANESE_RISK
7.34,0.21,459.6,22.9,SAFE
6.8,0.25,514.1,26.3,SAFE
7.24,0.26,272.6,28.1,SAFE
6.35,9.85,517.3,29.7,ACID_MINE_DRAINAGE_RISK
7.72,0.52,401.2,24.3,SAFE
4.49,6.71,868.6,27.6,ACID_MINE_DRAINAGE_RISK
7.47,0.24,255.5,27.6,SAFE
7.21,0.53,296.0,24.8,SAFE
6.39,10.94,954.3,27.9,IRON_MANGANESE_RISK
6.48,21.03,705.8,26.8,IRON_MANGANESE_RISK
5.77,13.25,614.2,28.9,IRON_MANGANESE_RISK
6.98,0.39,314.9,24.2,SAFE
5.66,4.98,1152.8,30.0,ACID_MINE_DRAINAGE_RISK
4.8,3.81,927.8,23.9,ACID_MINE_DRAINAGE_RISK
6.71,0.38,460.9,24.2,SAFE
6.6,9.45,619.8,26.0,IRON_MANGANESE_RISK
6.48,20.05,859.5,26.8,IRON_MANGANESE_RISK
6.43,19.64,711.5,24.3,IRON_MANGANESE_RISK
4.67,7.82,1137.7,26.7,ACID_MINE_DRAINAGE_RISK
6.46,15.25,905.0,28.1,IRON_MANGANESE_RISK
9.46,2.69,1422.3,25.5,FLUORIDE_RISK
6.15,11.39,486.6,24.4,IRON_MANGANESE_RISK
7.64,0.52,307.5,22.3,SAFE
6.86,18.43,739.5,27.9,IRON_MANGANESE_RISK
6.86,1.78,206.2,28.3,SAFE
7.54,0.25,244.1,20.4,SAFE
6.59,16.21,743.8,24.6,IRON_MANGANESE_RISK
7.53,0.82,239.3,19.1,SAFE
7.17,0.59,359.3,25.3,SAFE
7.19,1.47,293.6,27.2,SAFE
8.76,2.32,1237.8,28.8,FLUORIDE_RISK
7.6,1.27,369.0,24.7,SAFE
7.1,0.11,417.2,23.2,SAFE
5.75,3.22,1255.5,30.3,ACID_MINE_DRAINAGE_RISK
6.72,22.08,795.0,26.7,IRON_MANGANESE_RISK
5.19,6.56,1012.1,30.9,ACID_MINE_DRAINAGE_RISK
5.99,11.79,755.5,26.3,IRON_MANGANESE_RISK
9.01,0.12,1637.7,30.7,FLUORIDE_RISK
5.06,4.87,1397.4,29.9,ACID_MINE_DRAINAGE_RISK
8.09,0.82,320.3,21.1,SAFE
7.65,0.71,223.5,26.1,SAFE
7.0,11.88,599.7,26.7,IRON_MANGANESE_RISK
7.51,0.82,426.5,26.2,SAFE
7.29,20.16,887.4,27.8,MICROBIAL_RISK
4.91,7.47,1048.9,31.4,ACID_MINE_DRAINAGE_RISK
7.93,0.13,314.1,23.6,SAFE
7.67,1.39,340.9,21.6,SAFE
9.09,1.67,1513.6,26.3,FLUORIDE_RISK
6.7,15.01,773.1,25.9,IRON_MANGANESE_RISK
6.54,13.27,577.3,26.7,IRON_MANGANESE_RISK
8.99,1.64,1226.0,28.1,FLUORIDE_RISK
6.68,0.16,299.5,24.3,SAFE
6.42,24.3,446.5,32.1,MICROBIAL_RISK
7.11,0.28,291.8,29.1,SAFE
6.84,0.24,289.6,26.0,SAFE
7.29,0.32,252.1,29.1,SAFE
7.41,0.62,226.7,25.1,SAFE
5.04,2.06,1079.9,24.9,ACID_MINE_DRAINAGE_RISK
6.83,0.87,134.2,30.5,SAFE
6.64,12.34,770.9,28.4,IRON_MANGANESE_RISK
7.15,25.77,621.4,29.9,MICROBIAL_RISK
5.98,0.7,429.7,25.2,IRON_MANGANESE_RISK
9.21,0.44,1172.7,32.4,FLUORIDE_RISK
7.19,0.23,472.3,29.9,SAFE
4.36,8.15,575.8,29.2,ACID_MINE_DRAINAGE_RISK
6.47,9.61,561.7,24.3,IRON_MANGANESE_RISK
7.48,0.3,285.6,21.7,SAFE
7.39,1.06,262.6,24.3,SAFE
5.34,7.67,1230.0,24.6,ACID_MINE_DRAINAGE_RISK
7.46,0.27,295.4,25.9,SAFE
5.33,4.91,1214.6,21.8,ACID_MINE_DRAINAGE_RISK
7.07,0.5,245.1,23.0,SAFE
7.27,0.48,391.2,23.2,SAFE
5.37,11.35,749.7,29.9,ACID_MINE_DRAINAGE_RISK
7.15,0.12,272.1,21.7,SAFE
5.56,7.04,1227.1,36.8,ACID_MINE_DRAINAGE_RISK
7.32,0.45,279.0,24.1,SAFE
7.41,0.46,274.4,26.0,SAFE
4.61,5.13,1405.3,25.8,ACID_MINE_DRAINAGE_RISK
7.09,0.99,348.7,27.3,SAFE
4.43,6.06,1267.2,27.2,ACID_MINE_DRAINAGE_RISK
6.79,11.19,469.3,27.0,IRON_MANGANESE_RISK
7.38,0.67,226.2,28.4,SAFE
6.13,17.82,781.4,28.9,IRON_MANGANESE_RISK
6.66,17.77,507.0,28.4,MICROBIAL_RISK
7.7,1.74,282.7,23.6,SAFE
8.55,2.06,1105.7,28.7,FLUORIDE_RISK
6.1,0.48,416.5,27.3,SAFE
6.66,14.67,734.9,27.4,IRON_MANGANESE_RISK
6.92,0.41,459.8,24.2,SAFE
6.58,10.7,558.7,24.9,IRON_MANGANESE_RISK
4.47,7.07,1528.2,26.8,ACID_MINE_DRAINAGE_RISK
6.56,0.64,223.3,24.3,SAFE
7.66,0.35,328.5,27.6,SAFE
9.28,2.01,1831.7,30.3,FLUORIDE_RISK
7.42,0.34,310.2,25.3,SAFE
4.48,6.26,1137.2,25.3,ACID_MINE_DRAINAGE_RISK
6.42,13.15,507.2,26.2,IRON_MANGANESE_RISK
6.6,1.77,366.6,19.3,SAFE
6.96,0.13,286.9,30.7,SAFE
6.73,0.62,372.3,28.2,SAFE
6.26,5.34,600.7,28.3,IRON_MANGANESE_RISK
7.09,0.24,314.5,22.4,SAFE
4.83,7.88,1400.1,25.8,ACID_MINE_DRAINAGE_RISK
6.16,5.05,711.6,25.6,IRON_MANGANESE_RISK
7.38,0.56,355.9,24.9,SAFE
4.79,7.63,854.4,27.1,ACID_MINE_DRAINAGE_RISK
6.53,13.46,544.0,26.5,IRON_MANGANESE_RISK
8.63,1.33,1517.3,30.3,FLUORIDE_RISK
3.87,7.51,1206.9,23.1,ACID_MINE_DRAINAGE_RISK
7.85,0.17,234.5,19.6,SAFE
6.23,14.82,469.7,25.2,IRON_MANGANESE_RISK
6.82,1.37,296.6,20.5,SAFE
5.29,7.38,1036.0,30.4,ACID_MINE_DRAINAGE_RISK
5.96,7.01,1508.0,25.2,ACID_MINE_DRAINAGE_RISK
6.95,12.81,691.1,26.3,IRON_MANGANESE_RISK
6.78,6.13,482.4,25.6,IRON_MANGANESE_RISK
6.49,23.4,250.4,27.3,IRON_MANGANESE_RISK
6.59,0.12,440.6,22.9,SAFE
7.72,1.86,366.7,29.0,SAFE
7.11,2.88,325.9,24.0,SAFE
6.18,15.45,456.0,27.1,IRON_MANGANESE_RISK
6.4,0.2,420.9,24.1,SAFE
6.04,10.64,616.3,23.7,IRON_MANGANESE_RISK
7.44,0.11,290.1,23.5,SAFE
8.86,2.39,877.2,31.8,FLUORIDE_RISK
7.23,1.03,322.5,24.7,SAFE
5.08,7.36,1081.4,22.7,ACID_MINE_DRAINAGE_RISK
6.5,15.89,609.9,27.7,IRON_MANGANESE_RISK
6.45,0.43,354.6,26.4,SAFE
7.55,1.7,276.1,24.7,SAFE
6.94,1.33,87.4,23.9,SAFE
7.57,0.21,130.4,29.0,SAFE
6.49,13.31,624.5,24.4,IRON_MANGANESE_RISK
4.29,5.53,1139.5,26.8,ACID_MINE_DRAINAGE_RISK
6.28,16.1,479.3,27.0,IRON_MANGANESE_RISK
8.8,1.0,1224.3,24.8,FLUORIDE_RISK
6.25,16.07,795.9,25.2,IRON_MANGANESE_RISK
7.77,0.9,432.1,21.6,SAFE
7.66,1.31,466.4,24.2,SAFE
4.0,2.66,630.0,28.8,ACID_MINE_DRAINAGE_RISK
8.34,2.54,1612.8,32.2,FLUORIDE_RISK
7.42,1.12,373.1,22.8,SAFE
7.66,0.34,356.1,27.7,SAFE
6.11,8.34,1545.4,22.9,ACID_MINE_DRAINAGE_RISK
6.24,16.92,494.4,27.2,IRON_MANGANESE_RISK
6.01,15.14,501.8,24.3,IRON_MANGANESE_RISK
5.85,5.98,1233.4,26.2,ACID_MINE_DRAINAGE_RISK
7.29,0.28,326.1,24.2,SAFE
4.33,6.97,1351.9,23.9,ACID_MINE_DRAINAGE_RISK
7.75,43.61,427.2,30.0,MICROBIAL_RISK
6.63,1.6,404.7,21.8,SAFE
6.32,14.92,371.3,27.2,IRON_MANGANESE_RISK
6.49,18.73,824.1,25.8,IRON_MANGANESE_RISK
7.4,0.29,372.2,21.6,SAFE
4.96,6.62,873.8,29.9,ACID_MINE_DRAINAGE_RISK
5.81,16.83,536.0,26.6,IRON_MANGANESE_RISK
5.63,8.3,870.9,30.4,ACID_MINE_DRAINAGE_RISK
7.31,1.24,296.0,25.2,SAFE
5.43,6.75,889.6,30.5,ACID_MINE_DRAINAGE_RISK
6.66,0.26,297.4,23.1,SAFE
7.87,1.34,121.0,23.3,SAFE
7.71,0.41,416.5,28.4,SAFE
7.44,0.18,245.0,30.2,SAFE
6.61,16.13,704.2,29.5,IRON_MANGANESE_RISK
5.1,5.35,665.5,29.6,ACID_MINE_DRAINAGE_RISK
7.44,0.18,524.4,23.1,SAFE
5.22,4.24,712.8,27.6,ACID_MINE_DRAINAGE_RISK
6.28,6.45,890.6,24.3,ACID_MINE_DRAINAGE_RISK
6.05,7.94,1449.9,23.6,ACID_MINE_DRAINAGE_RISK
5.46,4.2,593.6,29.0,ACID_MINE_DRAINAGE_RISK
8.59,2.78,1160.6,32.6,FLUORIDE_RISK
5.72,9.29,682.7,24.0,IRON_MANGANESE_RISK
6.86,26.67,529.4,25.7,MICROBIAL_RISK
6.47,0.41,265.1,19.6,SAFE
5.99,21.97,533.1,26.3,IRON_MANGANESE_RISK
7.3,27.38,376.6,32.9,MICROBIAL_RISK
6.18,4.42,1009.6,24.2,ACID_MINE_DRAINAGE_RISK
6.29,22.66,828.6,26.4,IRON_MANGANESE_RISK
7.71,1.07,254.7,25.2,SAFE
4.98,8.51,907.3,25.9,ACID_MINE_DRAINAGE_RISK
8.09,0.15,209.1,28.6,SAFE
7.43,0.49,407.6,26.3,SAFE
6.46,13.6,715.4,20.9,IRON_MANGANESE_RISK
5.21,7.68,1444.8,26.8,ACID_MINE_DRAINAGE_RISK
6.83,24.78,759.0,28.3,MICROBIAL_RISK
7.35,1.5,272.8,21.1,SAFE
4.78,7.31,1402.1,29.9,ACID_MINE_DRAINAGE_RISK
4.76,7.61,1375.3,28.2,ACID_MINE_DRAINAGE_RISK
5.91,6.63,1244.2,23.6,ACID_MINE_DRAINAGE_RISK
5.4,3.28,1173.2,27.4,ACID_MINE_DRAINAGE_RISK
6.22,7.82,669.8,24.8,IRON_MANGANESE_RISK
5.24,5.53,996.6,25.8,ACID_MINE_DRAINAGE_RISK
6.8,0.4,85.6,31.2,SAFE
7.22,0.52,335.1,30.1,SAFE
9.47,2.24,1470.7,33.8,FLUORIDE_RISK
7.54,1.85,281.0,27.5,SAFE
7.26,0.18,313.5,20.1,SAFE
7.35,2.83,345.5,25.4,SAFE
7.69,0.15,151.5,21.7,SAFE
6.16,5.6,1084.0,24.5,ACID_MINE_DRAINAGE_RISK
7.09,1.98,442.4,27.0,SAFE
6.74,0.16,274.7,26.5,SAFE
6.24,8.38,1046.8,24.2,IRON_MANGANESE_RISK
6.01,14.18,657.7,25.0,IRON_MANGANESE_RISK
4.28,5.01,1369.5,25.6,ACID_MINE_DRAINAGE_RISK
6.06,7.59,1218.9,25.0,ACID_MINE_DRAINAGE_RISK
5.35,0.97,1376.0,27.4,ACID_MINE_DRAINAGE_RISK
7.3,0.78,239.9,24.1,SAFE
7.07,0.76,226.1,17.1,SAFE
7.09,0.64,225.6,25.8,SAFE
6.36,10.49,1269.7,25.0,ACID_MINE_DRAINAGE_RISK
7.78,0.6,270.1,27.6,SAFE
4.45,8.14,1307.0,26.3,ACID_MINE_DRAINAGE_RISK
8.28,0.28,464.8,20.6,SAFE
4.0,6.42,1260.1,27.3,ACID_MINE_DRAINAGE_RISK
6.94,0.69,315.1,18.4,SAFE
5.82,6.4,1112.5,29.3,ACID_MINE_DRAINAGE_RISK
5.21,5.76,1428.0,27.8,ACID_MINE_DRAINAGE_RISK
5.22,5.07,902.5,25.4,ACID_MINE_DRAINAGE_RISK
7.0,0.59,195.5,30.6,SAFE
5.14,3.27,926.1,24.7,ACID_MINE_DRAINAGE_RISK
5.9,9.46,1073.2,29.5,ACID_MINE_DRAINAGE_RISK
5.86,9.37,856.7,29.5,ACID_MINE_DRAINAGE_RISK
8.82,2.16,1307.8,27.6,FLUORIDE_RISK
9.51,1.8,1684.6,26.5,FLUORIDE_RISK
6.16,7.23,734.0,26.4,IRON_MANGANESE_RISK
7.58,0.81,378.8,24.7,SAFE
7.47,0.77,362.5,29.9,SAFE
6.51,0.43,323.8,28.9,SAFE
7.61,0.41,253.3,23.1,SAFE
6.33,16.98,713.2,26.5,IRON_MANGANESE_RISK
5.95,9.37,646.5,24.5,IRON_MANGANESE_RISK
6.98,1.09,230.9,23.9,SAFE
9.12,2.13,1615.2,29.6,FLUORIDE_RISK
8.65,0.89,1818.9,34.1,FLUORIDE_RISK
5.11,5.6,918.0,27.9,ACID_MINE_DRAINAGE_RISK
7.42,1.93,415.4,21.2,SAFE
6.65,12.29,710.3,24.6,IRON_MANGANESE_RISK
6.06,17.28,640.3,26.1,IRON_MANGANESE_RISK
7.22,1.23,464.5,21.6,SAFE
6.28,8.62,681.7,26.2,IRON_MANGANESE_RISK
6.18,9.69,1062.1,28.3,ACID_MINE_DRAINAGE_RISK
7.64,1.2,417.5,28.2,SAFE
7.44,0.17,368.7,27.8,SAFE
7.21,2.05,405.2,29.4,SAFE
7.7,0.4,261.6,26.3,SAFE
7.32,0.37,342.5,18.6,SAFE
5.11,9.12,815.6,27.1,ACID_MINE_DRAINAGE_RISK
7.03,27.15,639.5,33.4,MICROBIAL_RISK
5.94,5.55,1227.6,25.8,ACID_MINE_DRAINAGE_RISK
4.38,0.71,1314.5,24.9,ACID_MINE_DRAINAGE_RISK
5.64,2.32,1099.3,27.1,ACID_MINE_DRAINAGE_RISK
8.76,1.67,1338.8,25.1,FLUORIDE_RISK
7.49,0.21,374.4,26.0,SAFE
5.2,6.58,839.5,23.9,ACID_MINE_DRAINAGE_RISK
4.21,5.04,1182.3,30.1,ACID_MINE_DRAINAGE_RISK
7.12,0.45,328.3,31.1,SAFE
8.84,3.0,1447.0,29.2,FLUORIDE_RISK
6.77,34.59,547.1,30.0,MICROBIAL_RISK
8.99,1.35,1023.7,27.2,FLUORIDE_RISK
6.7,12.01,532.7,24.5,IRON_MANGANESE_RISK
7.39,0.31,213.9,19.5,SAFE
8.53,1.79,1724.8,26.7,FLUORIDE_RISK
6.98,26.8,480.8,27.9,MICROBIAL_RISK
6.83,1.02,345.3,22.3,SAFE
7.49,0.57,282.6,26.8,SAFE
7.14,1.25,320.6,24.0,SAFE
6.21,10.44,522.2,23.1,IRON_MANGANESE_RISK
6.81,0.81,332.8,23.5,SAFE
4.56,8.14,1302.7,24.5,ACID_MINE_DRAINAGE_RISK
5.35,5.95,914.4,25.7,ACID_MINE_DRAINAGE_RISK
7.26,1.97,309.3,26.2,SAFE
7.14,1.87,225.3,26.2,SAFE
7.08,2.49,425.2,23.3,SAFE
6.83,0.19,359.0,25.8,SAFE
6.66,13.19,570.8,28.1,IRON_MANGANESE_RISK
6.73,0.2,419.0,26.1,SAFE
7.19,0.26,293.0,27.9,SAFE
4.28,4.04,1451.2,25.8,ACID_MINE_DRAINAGE_RISK
5.42,5.19,1223.4,30.2,ACID_MINE_DRAINAGE_RISK
6.86,0.8,290.8,24.5,SAFE
4.74,3.04,966.0,26.3,ACID_MINE_DRAINAGE_RISK
8.9,1.63,1338.4,26.7,FLUORIDE_RISK
9.1,1.15,1751.0,28.8,FLUORIDE_RISK
4.27,6.89,825.7,23.3,ACID_MINE_DRAINAGE_RISK
6.51,13.46,742.7,29.0,IRON_MANGANESE_RISK
8.44,1.64,1540.5,28.9,FLUORIDE_RISK
5.28,6.25,956.0,19.8,ACID_MINE_DRAINAGE_RISK
7.36,0.96,388.0,23.4,SAFE
5.74,5.52,1350.4,30.5,ACID_MINE_DRAINAGE_RISK
6.61,12.67,814.1,25.8,IRON_MANGANESE_RISK
6.23,20.46,601.7,28.7,IRON_MANGANESE_RISK
6.74,0.93,206.8,25.7,SAFE
7.25,0.25,453.2,24.7,SAFE
5.43,6.65,1337.4,24.5,ACID_MINE_DRAINAGE_RISK
5.61,5.84,1015.9,29.4,ACID_MINE_DRAINAGE_RISK
5.38,7.68,919.8,30.8,ACID_MINE_DRAINAGE_RISK
6.6,14.24,708.2,28.5,IRON_MANGANESE_RISK
6.77,1.47,292.0,22.7,SAFE
5.91,20.02,824.7,25.8,IRON_MANGANESE_RISK
7.52,0.22,354.3,21.4,SAFE
6.32,22.74,735.6,24.8,IRON_MANGANESE_RISK
7.06,0.33,409.3,25.6,SAFE
6.58,13.66,700.0,26.3,IRON_MANGANESE_RISK
4.74,7.41,1177.8,22.3,ACID_MINE_DRAINAGE_RISK
4.41,7.37,1464.5,23.3,ACID_MINE_DRAINAGE_RISK
7.24,29.53,580.7,32.9,MICROBIAL_RISK
7.75,0.65,440.6,34.5,SAFE
6.85,0.54,364.3,23.4,SAFE
7.25,0.74,253.9,19.9,SAFE
4.82,7.88,1051.3,27.0,ACID_MINE_DRAINAGE_RISK
7.63,0.9,317.6,23.4,SAFE
7.96,0.5,348.9,32.2,SAFE
7.45,0.5,259.2,24.6,SAFE
7.1,0.23,370.7,29.7,SAFE
7.31,0.62,414.2,24.4,SAFE
7.09,0.46,313.0,30.1,SAFE
8.04,0.33,297.9,22.6,SAFE
7.94,0.3,384.2,22.8,SAFE
6.39,4.48,1339.2,28.3,ACID_MINE_DRAINAGE_RISK
7.21,0.5,336.4,27.3,SAFE
4.64,3.42,1148.1,29.9,ACID_MINE_DRAINAGE_RISK
5.04,7.48,915.5,27.5,ACID_MINE_DRAINAGE_RISK
6.44,16.84,683.1,24.0,IRON_MANGANESE_RISK
6.69,13.05,762.5,26.6,IRON_MANGANESE_RISK
4.86,4.58,1290.9,29.8,ACID_MINE_DRAINAGE_RISK
7.53,0.49,263.6,26.7,SAFE
6.77,0.34,226.1,24.7,SAFE
6.94,25.56,596.0,28.6,MICROBIAL_RISK
4.88,6.62,1085.3,25.7,ACID_MINE_DRAINAGE_RISK
6.66,14.32,820.9,25.2,IRON_MANGANESE_RISK
7.37,0.37,353.4,24.7,SAFE
7.39,0.82,367.6,23.2,SAFE
6.35,11.5,502.9,23.8,IRON_MANGANESE_RISK
7.64,35.09,512.5,30.5,MICROBIAL_RISK
6.72,13.25,548.6,23.8,IRON_MANGANESE_RISK
6.87,7.88,894.4,25.3,IRON_MANGANESE_RISK
7.24,0.49,294.4,23.6,SAFE
6.88,0.14,396.6,25.6,SAFE
7.97,0.43,400.0,22.8,SAFE
6.09,5.8,1124.6,27.4,ACID_MINE_DRAINAGE_RISK
5.07,8.73,1101.1,28.5,ACID_MINE_DRAINAGE_RISK
6.89,13.48,815.7,21.3,IRON_MANGANESE_RISK
6.89,23.88,549.2,29.9,MICROBIAL_RISK
7.75,0.58,399.2,24.3,SAFE
7.39,0.13,421.0,25.0,SAFE
7.49,0.48,285.4,27.4,SAFE
7.14,1.01,262.3,20.4,SAFE
7.24,0.34,306.0,26.5,SAFE
6.57,27.51,508.1,32.0,MICROBIAL_RISK
6.48,11.96,523.0,24.8,IRON_MANGANESE_RISK
7.26,0.66,231.4,23.8,SAFE
6.38,13.36,790.5,22.6,IRON_MANGANESE_RISK
8.36,1.41,295.5,27.2,SAFE
3.5,7.93,1160.9,24.3,ACID_MINE_DRAINAGE_RISK
7.03,4.13,194.3,25.3,SAFE
7.05,0.2,359.5,16.4,SAFE
7.07,0.32,299.4,27.4,SAFE
8.34,1.54,1457.4,27.7,FLUORIDE_RISK
5.91,15.3,379.4,21.2,IRON_MANGANESE_RISK
7.64,2.38,319.6,28.5,SAFE
5.25,2.7,1137.6,31.8,ACID_MINE_DRAINAGE_RISK
6.47,38.84,446.7,31.0,MICROBIAL_RISK
6.96,1.01,167.2,29.4,SAFE
5.05,9.18,963.3,25.1,ACID_MINE_DRAINAGE_RISK
4.67,6.91,1649.1,28.2,ACID_MINE_DRAINAGE_RISK
5.07,9.14,1149.7,31.1,ACID_MINE_DRAINAGE_RISK
7.55,0.16,139.1,22.3,SAFE
9.13,1.57,1432.1,29.7,FLUORIDE_RISK
8.08,0.29,341.7,24.6,SAFE
7.09,0.33,158.3,24.7,SAFE
6.77,0.62,150.1,28.5,SAFE
5.68,7.16,947.5,27.4,ACID_MINE_DRAINAGE_RISK
6.2,16.03,585.5,23.0,IRON_MANGANESE_RISK
7.22,1.94,416.5,20.4,SAFE
4.87,4.8,913.7,25.3,ACID_MINE_DRAINAGE_RISK
4.52,8.26,773.2,23.0,ACID_MINE_DRAINAGE_RISK
6.65,20.86,704.0,30.1,MICROBIAL_RISK
8.78,2.6,1111.8,31.3,FLUORIDE_RISK
6.61,0.81,246.7,22.7,SAFE
6.71,12.14,381.8,27.9,IRON_MANGANESE_RISK
7.54,33.45,381.6,31.5,MICROBIAL_RISK
7.38,0.94,187.1,26.5,SAFE
5.62,1.99,1142.6,29.4,ACID_MINE_DRAINAGE_RISK
4.71,6.57,1088.2,23.0,ACID_MINE_DRAINAGE_RISK
7.31,0.33,212.5,24.3,SAFE
6.63,1.68,352.3,27.1,SAFE
7.56,0.98,366.5,25.9,SAFE
6.15,21.44,797.3,29.4,IRON_MANGANESE_RISK
6.3,0.71,310.0,22.6,SAFE
6.86,0.81,330.8,23.5,SAFE
7.48,0.19,326.3,28.2,SAFE
5.28,4.56,1139.3,27.4,ACID_MINE_DRAINAGE_RISK
4.86,4.96,1244.0,26.6,ACID_MINE_DRAINAGE_RISK
5.41,8.55,1181.1,25.7,ACID_MINE_DRAINAGE_RISK
6.74,3.74,417.8,22.3,SAFE
8.61,2.41,1603.4,31.8,FLUORIDE_RISK
7.83,0.73,276.7,24.8,SAFE
7.52,0.47,390.1,24.7,SAFE
4.72,7.0,1252.2,27.7,ACID_MINE_DRAINAGE_RISK
6.52,2.26,291.9,18.3,SAFE
7.75,0.85,421.2,22.3,SAFE
6.85,0.74,328.2,23.6,SAFE
8.86,2.57,1209.2,28.3,FLUORIDE_RISK
6.23,16.78,826.0,25.5,IRON_MANGANESE_RISK
8.99,0.54,1386.2,31.4,FLUORIDE_RISK
6.95,0.95,328.0,21.2,SAFE
7.43,0.22,329.9,23.1,SAFE
6.78,15.15,476.4,23.3,IRON_MANGANESE_RISK
5.55,10.0,1489.3,28.3,ACID_MINE_DRAINAGE_RISK
6.23,9.37,777.5,26.8,IRON_MANGANESE_RISK
6.64,31.73,744.1,32.5,MICROBIAL_RISK
6.65,16.06,580.8,27.5,IRON_MANGANESE_RISK
5.22,6.3,1119.7,25.8,ACID_MINE_DRAINAGE_RISK
6.96,0.26,364.3,27.6,SAFE
7.3,0.19,320.3,29.9,SAFE
9.02,1.03,1273.2,27.4,FLUORIDE_RISK
6.84,16.16,573.8,22.3,IRON_MANGANESE_RISK
4.52,3.12,704.1,28.0,ACID_MINE_DRAINAGE_RISK
9.05,1.56,1538.0,26.6,FLUORIDE_RISK
9.1,1.74,1093.9,31.1,FLUORIDE_RISK
7.07,0.19,297.9,24.5,SAFE
6.13,9.43,731.2,28.7,IRON_MANGANESE_RISK
4.34,9.45,1386.1,23.5,ACID_MINE_DRAINAGE_RISK
7.61,0.46,333.4,27.8,SAFE
6.73,18.8,486.4,27.6,IRON_MANGANESE_RISK
6.47,12.79,617.2,27.5,IRON_MANGANESE_RISK
4.07,1.67,1367.3,25.1,ACID_MINE_DRAINAGE_RISK
9.01,2.27,1419.9,28.4,FLUORIDE_RISK
7.39,0.87,377.7,27.6,SAFE
6.91,0.38,239.6,26.1,SAFE
6.61,9.13,894.3,22.8,IRON_MANGANESE_RISK
7.62,4.5,274.3,22.9,SAFE
6.15,19.81,652.1,24.8,IRON_MANGANESE_RISK
7.18,1.12,260.1,24.3,SAFE
7.31,0.42,328.3,23.3,SAFE
7.63,0.13,336.8,22.0,SAFE
9.27,1.79,1982.8,27.3,FLUORIDE_RISK
6.26,9.68,558.0,26.4,IRON_MANGANESE_RISK
7.36,0.49,320.8,24.2,SAFE
6.79,17.71,684.3,29.5,IRON_MANGANESE_RISK
4.21,3.77,1036.6,26.1,ACID_MINE_DRAINAGE_RISK
7.5,0.9,325.4,18.9,SAFE
7.19,0.96,402.9,25.2,SAFE
4.91,5.9,1102.2,31.1,ACID_MINE_DRAINAGE_RISK
4.75,4.28,1292.9,27.9,ACID_MINE_DRAINAGE_RISK
7.8,0.26,407.7,26.3,SAFE
5.46,5.51,950.6,31.9,ACID_MINE_DRAINAGE_RISK
5.41,3.45,595.7,19.9,ACID_MINE_DRAINAGE_RISK
6.15,5.52,1041.6,33.6,ACID_MINE_DRAINAGE_RISK
6.65,1.58,301.6,26.1,SAFE
5.02,8.26,1638.7,26.2,ACID_MINE_DRAINAGE_RISK
6.92,0.69,438.6,24.2,SAFE
7.17,1.67,227.3,23.1,SAFE
6.1,3.41,1339.4,24.7,ACID_MINE_DRAINAGE_RISK
7.18,31.84,393.4,31.6,MICROBIAL_RISK
6.11,18.13,884.6,23.7,IRON_MANGANESE_RISK
6.78,39.77,436.1,27.9,MICROBIAL_RISK
7.57,0.3,204.5,23.6,SAFE
6.79,0.1,220.2,27.9,SAFE
